rank,label,channels,role,replicate,coverage,historical_evo_ape_mean_cm,historical_evo_ape_rmse_cm,historical_evo_rpe_rmse_cm,se3_ate_rmse_cm,se3_ate_mean_cm,se3_ate_max_cm,translation_rpe_rmse_cm,translation_rpe_max_cm,rotation_rpe_rmse_deg,rotation_rpe_max_deg,allframe_sim3_mean_cm,allframe_sim3_scale,keyframe_sim3_mean_cm,keyframe_sim3_scale
1,unet_c2f_a_fine02_coarse04,"unet|A|fine:3,7,12|coarse:0,5,6,18,30","fine rank 2 (G3, source 6.0004cm) + coarse rank 4 (G5, source 7.6408cm)",0,0.9965095986038395,5.8765,6.4309,1.3098999999999998,10.083529141956475,9.541625389088997,16.05068635548741,0.9781991067923039,7.467637328642682,0.8088578805156228,9.682362279465002,6.418656292327247,1.0890421575164084,5.890626065683651,1.0927963308945405
2,unet_c2f_a_fine05_coarse04,"unet|A|fine:2,3,7,12,13|coarse:0,5,6,18,30","fine rank 5 (G5, source 7.0959cm) + coarse rank 4 (G5, source 7.6408cm)",0,0.9965095986038395,6.1874,6.8056,1.2523,10.161167674515909,9.666545137386949,17.801966274552086,0.9486793515981098,8.462040524354268,0.7458663881588324,9.343093286447811,6.424965799937181,1.090986082300356,6.207453770406437,1.093453503898468
3,unet_c2f_b_fine02_coarse02,"unet|B|fine:3,7,12|coarse:0,5,6,17,18,30","fine rank 2 (G3, source 6.0004cm) + coarse rank 2 (G6, source 6.9553cm)",0,0.9965095986038395,6.3454,6.847300000000001,1.4005999999999998,9.730687842727807,9.050371469537515,16.670486291355395,1.0564655899039666,10.589596264905019,0.8392377075502477,9.9244548345871,7.076332672198103,1.0741665684632185,6.348372791779769,1.0774246897761537
4,unet_c2f_a_fine03_coarse04,"unet|A|fine:2,3,12,14|coarse:0,5,6,18,30","fine rank 3 (G4, source 6.3905cm) + coarse rank 4 (G5, source 7.6408cm)",0,0.9965095986038395,6.3974,7.16,1.3155000000000001,10.725580601554888,10.175664652854097,17.288033700910944,0.9853800293095248,9.386516412739782,0.8520254245605389,10.655205351889228,6.8163525995654854,1.0933360792969793,6.418606324757422,1.0971180734828405
5,unet_c2f_b_fine05_coarse04,"unet|B|fine:2,3,7,12,13|coarse:0,5,6,18,30","fine rank 5 (G5, source 7.0959cm) + coarse rank 4 (G5, source 7.6408cm)",0,0.9965095986038395,6.461799999999999,6.9384,1.2831000000000001,10.519257471015925,9.984111489461684,17.77316847357281,0.956728796794557,8.985051852721543,0.7660020921870003,9.583745214875515,7.161007373789931,1.0894402147485969,6.46712492081515,1.0940757904019316
6,unet_c2f_a_fine01_coarse04,"unet|A|fine:2,3,7,12,13,14|coarse:0,5,6,18,30","fine rank 1 (G6+Lstar, source 5.9208cm) + coarse rank 4 (G5, source 7.6408cm)",0,0.9965095986038395,6.532399999999999,7.069699999999999,1.2727,10.436208301367932,9.889002021775518,17.800064633205874,0.945654200991132,7.1586089202759275,0.8019830444976215,9.743403840566634,6.962706233909907,1.0898714916605903,6.550577208496776,1.0934612677018594
7,unet_c2f_b_fine03_coarse02,"unet|B|fine:2,3,12,14|coarse:0,5,6,17,18,30","fine rank 3 (G4, source 6.3905cm) + coarse rank 2 (G6, source 6.9553cm)",0,0.9965095986038395,6.543699999999999,7.1482,1.3016,10.431445070591899,9.77270473072347,16.844378111243234,0.9371638597669109,6.292386364159208,0.7057026789881335,6.221059749183251,7.492522832367825,1.0801433542917174,6.5483143594495585,1.0855841785054097
8,unet_c2f_b_fine02_coarse04,"unet|B|fine:3,7,12|coarse:0,5,6,18,30","fine rank 2 (G3, source 6.0004cm) + coarse rank 4 (G5, source 7.6408cm)",0,0.9965095986038395,6.603000000000001,7.1437,1.5563,10.317998544103087,9.51373274799977,20.749910390505597,1.101301286630944,13.636360113645098,0.967580502132294,14.11847319590346,7.369958137270058,1.0760137262294156,6.611582987535776,1.0799518010004212
9,unet_c2f_a_fine03_coarse02,"unet|A|fine:2,3,12,14|coarse:0,5,6,17,18,30","fine rank 3 (G4, source 6.3905cm) + coarse rank 2 (G6, source 6.9553cm)",0,0.9965095986038395,6.7074,7.3553,1.4414,10.62976816890377,9.946548022869289,19.825003430315295,1.0656909336645375,9.315421101430104,0.8344894041053891,9.960316317632797,7.739346148249086,1.0793848662882297,6.712237051221331,1.084523850579532
10,unet_c2f_b_fine02_coarse01,"unet|B|fine:3,7,12|coarse:5,6,17,18,28,30","fine rank 2 (G3, source 6.0004cm) + coarse rank 1 (Lstar, source 6.7335cm)",0,0.9965095986038395,6.7999,7.5475,1.4868,10.286880067892202,9.62428443972522,19.78831067832969,1.1480526671238522,12.304458659069564,0.7797654450224133,9.766213534866571,7.6253702085580795,1.073319996501594,6.797290093677431,1.077324273651395
